# Dataset: annual dissolved oxygen at German monitoring sites (EEA Waterbase v2020_1).
# Source: data/raw/waterbase/ Aggregated + Spatial files, determinand 'Dissolved oxygen'.
# Site filter: monitoring sites within the study radius of a study reactor.
# Window filter: observation years 2006-2018 (inclusive).
# Added columns: nearest study reactor, its group and the distance in km.
# River position added by river_position.py: each site is matched to its
# study river and classified upstream/downstream of the nearest reactor, with
# an approximate along-flow distance and distance band. Flow direction is a
# per-river heuristic (see the module); the up/down sign is robust, the distance
# is approximate. Filter on position=downstream for the plume-exposed sample;
# downstream_of_shock=1 marks sites below a 2011/staggered shutdown.
site_id,site_name,water_body_name,latitude,longitude,year,mean_value,min_value,max_value,sample_count,unit,nearest_reactor,nearest_group,distance_km,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,downstream_of_shock
DESM_DENI_59942126,OTTERNDORF,MEDEM,53.80612,8.89815,2008,8.125,2.9,16.6,12,mg/L,Brokdorf,control,29.807,,off_river,,,,,0
DESM_DENI_49282075,HOLZKAMP003,DELME UNTERLAUF OBERHALB DELMENHORST,53.00301,8.57217,2008,9.89167,8.9,11.2,12,mg/L,Unterweser,treatment,47.747,,off_river,,,,,0
DESM_DENI_59652013,DAUDIECK,LÜHE-AUE MITTELLAUF 2,53.4921,9.5555,2008,10.1,8.8,11.4,12,mg/L,Brokdorf,control,42.239,,off_river,,,,,0
DESM_DENI_48862863,SARSTEDT,INNERSTE,52.24773,9.8286,2008,10.5,8.3,13.3,12,mg/L,Grohnde,control,36.862,,off_river,,,,,0
DESM_DENI_49872057,STOTEL,LUNE UNTERLAUF 1,53.45161,8.60908,2008,8.525,6.2,11.4,12,mg/L,Unterweser,treatment,9.121,,off_river,,,,,0
DESM_DENI_49482303,TIETJENSHÜTTE,HAMME III,53.20312,8.82025,2008,8.13333,5.5,11.4,12,mg/L,Unterweser,treatment,33.894,,off_river,,,,,0
DESM_BWU40,KARLSRUHE,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB STAUSTUFE IFFEZHEIM BIS OBERHALB LAUTERMÜNDUNG",48.92299,8.16898,2008,10.052,7.5,12.3,25,mg/L,Philippsburg 1,partial,41.479,,off_river,,,,,0
DESM_BWU41,MANNHEIM/RHEIN,"FREIFLIEßENDE RHEINSTRECKE, UNTERHALB LAUTER- BIS OBERHALB NECKARMÜNDUNG",49.48374,8.45494,2008,9.824,6.9,11.8,25,mg/L,Biblis A,treatment,25.259,,off_river,,,,,0
DESM_NW031318,BRÜCKEAMMELITTABAD,MITTELLANDKANAL,52.30086,8.88783,2008,9.13333,4.8,13.6,12,mg/L,Grohnde,control,46.425,,off_river,,,,,0
DESM_BWU44,DEIZISAU,NECKAR AB FILS OBERHALB ENZ (TBG 42),48.7171,9.38628,2008,10.2038,7.3,12.8,26,mg/L,Neckarwestheim 1,partial,39.2,Neckar,upstream,,,,,0
DESM_BWU48,MANNHEIM/NECKAR,NECKAR (BW) AB KOCHER (TBG 49),49.49469,8.4689,2008,10.3231,7.4,13.6,26,mg/L,Biblis A,treatment,24.192,Neckar,downstream,Neckarwestheim 1,partial,71.7,>50,1
DESM_NW731808,UHKABADOEYNHAUSEN,WERRE,52.21949,8.8254,2008,10.05,8.3,12.0,12,mg/L,Grohnde,control,45.053,,off_river,,,,,0
