# Water quality, monthly mean per site, from the Waterbase v2025_1 disaggregated data.
# German sites on a study river within 50 km of a study reactor.
# Built by waterbase_disaggregated.py.
site_id,site_name,water_body_name,latitude,longitude,study_river,position,nearest_upstream_plant,nearest_upstream_group,along_river_km,distance_band,determinand,year,month,mean_value,n_samples
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2018,3,0.3,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2020,9,0.2,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2021,3,0.2,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2021,10,0.1,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2022,9,0.1,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2023,3,0.1,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2024,3,0.5,1
DEGM_DEBW_133-254-6,GWM FLACH KIRSCHGARTSHAUSEN KAELBERWEIDE MASANDHOFEN,NAME,49.58248,8.44112,Rhine,downstream,Philippsburg 1,partial,36.5,25-50,dissolved_oxygen,2024,9,0.1,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2012,3,5.1,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2012,9,6.1,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2013,3,5.8,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2013,9,6.5,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2014,3,6.1,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2014,9,5.3,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2015,3,6.0,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2015,11,3.5,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2016,3,5.2,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2016,9,5.4,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2017,3,7.0,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2017,9,4.8,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2017,12,4.8,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2018,3,5.1,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2018,9,4.9,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2019,3,4.6,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2019,9,4.9,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2020,3,5.0,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2020,9,4.7,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2021,9,4.8,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2022,4,4.6,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2022,9,4.7,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2023,2,4.6,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2023,9,4.3,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2024,3,5.2,1
DEGM_DEBW_31-510-1,TB I HOHES GESTAD BEIHINGEN,NAME,48.94337,9.21894,Neckar,upstream,,,,,dissolved_oxygen,2024,9,5.1,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2012,9,6.5,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2013,3,7.0,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2014,3,8.3,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2014,9,8.7,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2015,3,8.1,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2015,6,7.8,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2015,9,6.9,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2016,3,8.2,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2016,9,8.2,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2017,3,7.3,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2017,9,8.6,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2017,12,8.2,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2018,3,8.1,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2018,9,8.6,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2018,11,8.3,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2019,3,9.0,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2019,8,7.8,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2020,3,8.4,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2020,9,8.6,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2021,9,8.0,1
DEGM_DEBW_44-602-0,BBR IV WV STADTWERKE WERTHEIM GMBH DERTINGEN,NAME,49.76907,9.59709,Main,downstream,Grafenrheinfeld,staggered_treatment,37.0,25-50,dissolved_oxygen,2022,4,7.9,1
